image_id,filepath,label,source,generator_name,generator_family,width,height,format,collection_date,split,notes,caption,label_a,label_b
defactify_train_40600,data/raw/ai_generated/defactify/defactify_train_40600.png,ai_generated,defactify,dalle3,diffusion,270,270,png,2026-03-25,,,there is a train that is coming down the tracks on the train ,1,4
defactify_train_22639,data/raw/ai_generated/defactify/defactify_train_22639.png,ai_generated,defactify,sd21,diffusion,768,768,png,2026-03-25,,,A teenager wheeling a suitcase down a crowded street.,1,1
defactify_train_38,data/raw/ai_generated/defactify/defactify_train_38.png,ai_generated,defactify,sdxl,diffusion,1024,1024,png,2026-03-25,,,a giraffe leaning over a fence to eat out of a bowl that a woman is holding ,1,2
defactify_train_31539,data/raw/ai_generated/defactify/defactify_train_31539.png,ai_generated,defactify,sd3,diffusion,1024,1024,png,2026-03-25,,,A green traffic light shines above a street with light traffic.,1,3
defactify_train_8655,data/raw/ai_generated/defactify/defactify_train_8655.png,ai_generated,defactify,sd3,diffusion,1024,1024,png,2026-03-25,,,Clouds can be seen beyond the wing of the plane. ,1,3
defactify_train_12723,data/raw/ai_generated/defactify/defactify_train_12723.png,ai_generated,defactify,sd3,diffusion,1024,1024,png,2026-03-25,,,A light that is on a ceiling in a kitchen.,1,3
defactify_train_33425,data/raw/ai_generated/defactify/defactify_train_33425.png,ai_generated,defactify,midjourney,proprietary,436,436,png,2026-03-25,,,A herd of sheep walking across a lush green field.,1,5
defactify_train_20711,data/raw/ai_generated/defactify/defactify_train_20711.png,ai_generated,defactify,midjourney,proprietary,436,436,png,2026-03-25,,,a group of people are crammed in a small area on motor bikes ,1,5
defactify_train_7577,data/raw/ai_generated/defactify/defactify_train_7577.png,ai_generated,defactify,midjourney,proprietary,436,436,png,2026-03-25,,,A train is driving down the tracks in front of a building.,1,5
defactify_train_23377,data/raw/ai_generated/defactify/defactify_train_23377.png,ai_generated,defactify,sd21,diffusion,768,768,png,2026-03-25,,,Racks full of bikes fill an entire street.,1,1
defactify_train_23473,data/raw/ai_generated/defactify/defactify_train_23473.png,ai_generated,defactify,sd21,diffusion,768,768,png,2026-03-25,,,a motorcycle is hanging in the air with plants on it,1,1
defactify_train_5205,data/raw/ai_generated/defactify/defactify_train_5205.png,ai_generated,defactify,sd3,diffusion,1024,1024,png,2026-03-25,,,Two little birds with white chests sit on barbed wire.,1,3
defactify_train_24440,data/raw/ai_generated/defactify/defactify_train_24440.png,ai_generated,defactify,sdxl,diffusion,1024,1024,png,2026-03-25,,,Two sheep graze in a valley near a small town.,1,2
defactify_train_36945,data/raw/ai_generated/defactify/defactify_train_36945.png,ai_generated,defactify,sd3,diffusion,1024,1024,png,2026-03-25,,,Three giraffes are sitting on the ground. ,1,3
defactify_train_15716,data/raw/ai_generated/defactify/defactify_train_15716.png,ai_generated,defactify,sdxl,diffusion,1024,1024,png,2026-03-25,,,A sheep scratches his back up against a wooden structure.,1,2
defactify_train_23870,data/raw/ai_generated/defactify/defactify_train_23870.png,ai_generated,defactify,sdxl,diffusion,1024,1024,png,2026-03-25,,,Two giraffe standing next to a tree covered hillside.,1,2
defactify_train_34004,data/raw/ai_generated/defactify/defactify_train_34004.png,ai_generated,defactify,sdxl,diffusion,1024,1024,png,2026-03-25,,,A black fence guarding a building next to a trash can.,1,2
